Group               ,key                                ,English                                                                                                                                                                                                                                                                       ,Spanish                                                                                                                                                                                                                                                        ,German                                                                                                                                                                                                      ,French                                                                                                                                                                                                                 ,Italian
checkoutProcess     ,changeDropOffLocation              ,Change drop-off location                                                                                                                                                                                                                                                      ,Cambiar el lugar de entrega                                                                                                                                                                                                                                    ,Abgabestelle ändern                                                                                                                                                                                         ,Changer le lieu de depôt.                                                                                                                                                                                              ,Cambia località del punto corriere
checkoutProcess     ,packageDeliveredTo                 ,Package will be delivered to:                                                                                                                                                                                                                                                 ,El paquete será entregado a:                                                                                                                                                                                                                                   ,Das Paket wird geliefert an:                                                                                                                                                                                ,Le colis sera délivré à:                                                                                                                                                                                               ,La spedizione verrà consegnata a:
checkoutProcess     ,dropOffDeliveryAddress             ,Drop-Off delivery address                                                                                                                                                                                                                                                     ,Dirección de entrega                                                                                                                                                                                                                                           ,Zustelladresse                                                                                                                                                                                              ,Adresse de livraison.                                                                                                                                                                                                  ,Indirizzo di consegna del punto corriere
checkoutProcess     ,changeAddress                      ,There are no delivery locations available for your delivery address. Please change your address.                                                                                                                                                                              ,No hay servicio disponible para la dirección de entrega. Por favor cambia tu direccion.                                                                                                                                                                        ,Für Ihre Zustelladresse sind keine Zustellorte verfügbar. Bitte ändern Sie Ihre Adresse.                                                                                                                    ,Il n'y a pas de lieux de livraison disponibles pour votre adresse de livraison. Veuillez changer votre adresse.                                                                                                        ,Non ci sono località di consegna disponibili per il tuo indirizzo di consegna. Per favore cambia l'indirizzo.
checkoutProcess     ,shippingServiceNotFound            ,Shipping service not found                                                                                                                                                                                                                                                    ,Servicio de envío no encontrado                                                                                                                                                                                                                                ,Versanddienst nicht gefunden                                                                                                                                                                                ,Service de livraison introuvable.                                                                                                                                                                                      ,Servizio di spedizione non trovato
locationPicker      ,monday                             ,Monday                                                                                                                                                                                                                                                                        ,Lunes                                                                                                                                                                                                                                                          ,Montag                                                                                                                                                                                                      ,Lundi                                                                                                                                                                                                                  ,Lunedì
locationPicker      ,tuesday                            ,Tuesday                                                                                                                                                                                                                                                                       ,Martes                                                                                                                                                                                                                                                         ,Dienstag                                                                                                                                                                                                    ,Mardi                                                                                                                                                                                                                  ,Martedì
locationPicker      ,wednesday                          ,Wednesday                                                                                                                                                                                                                                                                     ,Miércoles                                                                                                                                                                                                                                                      ,Mittwoch                                                                                                                                                                                                    ,Mercredi                                                                                                                                                                                                               ,Mercoledì
locationPicker      ,thursday                           ,Thursday                                                                                                                                                                                                                                                                      ,Jueves                                                                                                                                                                                                                                                         ,Donnerstag                                                                                                                                                                                                  ,Jeudi                                                                                                                                                                                                                  ,Giovedì
locationPicker      ,friday                             ,Friday                                                                                                                                                                                                                                                                        ,Viernes                                                                                                                                                                                                                                                        ,Freitag                                                                                                                                                                                                     ,Vendredi                                                                                                                                                                                                               ,Venerdì
locationPicker      ,saturday                           ,Saturday                                                                                                                                                                                                                                                                      ,Sábado                                                                                                                                                                                                                                                         ,Samstag                                                                                                                                                                                                     ,Samedi                                                                                                                                                                                                                 ,Sabato
locationPicker      ,sunday                             ,Sunday                                                                                                                                                                                                                                                                        ,Domingo                                                                                                                                                                                                                                                        ,Sonntag                                                                                                                                                                                                     ,Dimanche                                                                                                                                                                                                               ,Domenica
locationPicker      ,zipCode                            ,Zip code                                                                                                                                                                                                                                                                      ,Código postal                                                                                                                                                                                                                                                  ,Postleitzahl                                                                                                                                                                                                ,Code postal                                                                                                                                                                                                            ,Codice postale
locationPicker      ,idCode                             ,ID code                                                                                                                                                                                                                                                                       ,Código ID                                                                                                                                                                                                                                                      ,ID Code                                                                                                                                                                                                     ,Code ID                                                                                                                                                                                                                ,Codice ID
locationPicker      ,selectThisLocation                 ,Select this location                                                                                                                                                                                                                                                          ,Selecciona esta ubicación                                                                                                                                                                                                                                      ,Diesen Ort auswählen                                                                                                                                                                                        ,Sélectionner ce lieu                                                                                                                                                                                                   ,Seleziona la località
locationPicker      ,showWorkingHours                   ,Show working hours                                                                                                                                                                                                                                                            ,Mostrar horas de apertura                                                                                                                                                                                                                                      ,Öffnungszeiten anzeigen                                                                                                                                                                                     ,Montrer les heures de travail                                                                                                                                                                                          ,Mostra orari di apertura
locationPicker      ,hideWorkingHours                   ,Hide working hours                                                                                                                                                                                                                                                            ,Ocultar horario de apertura                                                                                                                                                                                                                                    ,Öffnungszeiten ausblenden                                                                                                                                                                                   ,Cacher les heures d'ouverture                                                                                                                                                                                          ,Nascondi orari di apertura
locationPicker      ,showOnMap                          ,Show on map                                                                                                                                                                                                                                                                   ,Mostrar en el mapa                                                                                                                                                                                                                                             ,Auf der Karte anzeigen                                                                                                                                                                                      ,Montrer sur la carte                                                                                                                                                                                                   ,Mostra sulla mappa
locationPicker      ,searchBy                           ,"Search by location name, id or address"                                                                                                                                                                                                                                      ,"Buscar por nombre de ubicación, ID o dirección"                                                                                                                                                                                                               ,"Suche nach Standortname, ID oder Adresse"                                                                                                                                                                  ,"Chercher par lieu, nom, id ou adresse"                                                                                                                                                                                ,"Cerca nome della località per nome, id o indirizzo"
migrationLogMessages,removeControllersHooksFailed       ,Failed to remove old controllers and hooks because: %s                                                                                                                                                                                                                        ,Error al eliminar los controladores y enlaces antiguos porque: %s                                                                                                                                                                                              ,Alte Controller und Hooks konnten nicht entfernt werden auf Grund von: %s                                                                                                                                   ,Echec du retrait des anciens régulateurs et crochets parce que. %s                                                                                                                                                     ,Impossibile rimuovere vecchi controller e hook perché: %s
migrationLogMessages,deleteObsoleteFilesFailed          ,Could not delete obsolete files because: %s                                                                                                                                                                                                                                   ,No se pudieron eliminar los archivos antiguos porque: %s                                                                                                                                                                                                       ,Alte Dateien konnten nicht gelöscht werden auf Grund von: %s                                                                                                                                                ,La suppression des dossiers obsolètes n'a pas pu être effectuée car: %s                                                                                                                                                ,Impossibile eliminare i file obsoleti perché: %s
migrationLogMessages,oldAPIKeyDetected.                 ,Old API key detected.                                                                                                                                                                                                                                                         ,Se ha detectado una clave de API antigua.                                                                                                                                                                                                                      ,Alter API-Schlüssel erkannt.                                                                                                                                                                                ,Ancienne clé API détectée.                                                                                                                                                                                             ,Rilevata vecchia API Key.
migrationLogMessages,successfullyLoggedIn               ,Successfully logged in with existing api key.                                                                                                                                                                                                                                 ,Has iniciado correctamente la sesión con la clave de API existente.                                                                                                                                                                                            ,Erfolgreich mit bestehendem API-Schlüssel angemeldet.                                                                                                                                                       ,Connecté avec succès avec la clé API existante.                                                                                                                                                                        ,Accesso eseguito correttamente con la API Key esistente.
migrationLogMessages,removingObsoleteFiles.             ,Removing obsolete files.                                                                                                                                                                                                                                                      ,Eliminando archivo antiguos.                                                                                                                                                                                                                                   ,Veraltete Dateien werden entfernt.                                                                                                                                                                          ,Retrait des dossiers osolètes.                                                                                                                                                                                         ,Rimozione di file obsoleti.
migrationLogMessages,cannotEnqueueUpgradeShopDetailsTask,Cannot enqueue UpgradeShopDetailsTask because: %s                                                                                                                                                                                                                             ,No se pueden poner en espera los detalles de la actualización de la tienda porque: %s                                                                                                                                                                          ,UpgradeShopDetailsTask kann aus folgenden Gründen nicht in die Warteschlange gestellt werden: %s                                                                                                            ,"Mise en attente de la tâche ""Mise à jour des détails du Shop"" impossible car: %s"                                                                                                                                   ,Impossibile richiamare UpgradeShopDetailsTask perché: %s
migrationLogMessages,deletingOldPluginDta.              ,Deleting old plugin data.                                                                                                                                                                                                                                                     ,Eliminando datos antiguos del plugin.                                                                                                                                                                                                                          ,Alte Plugin-Daten werden gelöscht.                                                                                                                                                                          ,Suppression des informations relatives à l'ancien plugin.                                                                                                                                                              ,Eliminando i vecchi dati del plug-in
migrationLogMessages,cannotRetrieveOrderReferences      ,Cannot retrieve order references because: %s                                                                                                                                                                                                                                  ,No se pueden recuperar referencias de pedidos porque: %s                                                                                                                                                                                                       ,Bestellreferenzen können nicht abgerufen werden auf Grund von: %s                                                                                                                                           ,Récupération des références de commande impossible car: %s                                                                                                                                                             ,Impossibile recuperare i riferimenti degli ordini perché: %s
migrationLogMessages,createOrderReferenceFailed         ,Failed to create reference for order %s                                                                                                                                                                                                                                       ,Error al crear la referencia para el pedido %s                                                                                                                                                                                                                 ,Referenz für Auftrag %s konnte nicht erstellt werden.                                                                                                                                                       ,Échec de création de référence pour la commande %s                                                                                                                                                                     ,Impossibile creare il riferimento per l'ordine %s
migrationLogMessages,setLabelsFailed                    ,Failed to set labels for order with reference %s                                                                                                                                                                                                                              ,Error al generar las etiquetas para el pedido con referencia %s                                                                                                                                                                                                ,Versandetiketten für Bestellung mit Referenz %s konnten nicht erstellt werden.                                                                                                                              ,Échec de la mise en place d'étiquettes pour la commande sous la référence %s                                                                                                                                           ,Impossibile impostare le etichette per l'ordine con riferimento %s
migrationLogMessages,setTrackingInfoFailed              ,Failed to set tracking info for order with reference %s                                                                                                                                                                                                                       ,Error al generar la información de seguimiento para el pedido con la referencia %s                                                                                                                                                                             ,Fehler beim Festlegen der Tracking-Informationen für die Bestellung mit Referenz %s                                                                                                                         ,Échec de la mise en place des informations de suivi pour la commande sous la référence %s                                                                                                                              ,Impossibile impostare le informazioni di tracciamento per l'ordine con riferimento %s
migrationLogMessages,orderNotFound                      ,Order with reference %s not found.                                                                                                                                                                                                                                            ,Pedido con referencia %s no encontrado.                                                                                                                                                                                                                        ,Auftrag mit Referenz %s nicht gefunden.                                                                                                                                                                     ,La commande sous la référence %s introuvable.                                                                                                                                                                          ,Ordine con riferimento %s non trovato
systemLogMessages   ,errorCreatingDefaultTask           ,Error creating default task runner status configuration.                                                                                                                                                                                                                      ,Error creating default task runner status configuration.                                                                                                                                                                                                       ,Fehler beim Erstellen der Standardkonfiguration des Task-Runner-Status.                                                                                                                                     ,Erreur lors de la création de la configuration du gestionnaire de tâches par défaut.                                                                                                                                   ,Error creating default task runner status configuration.
systemLogMessages   ,webhookReceived                    ,Webhook from Packlink received.                                                                                                                                                                                                                                               ,Webhook de Packlink recibido                                                                                                                                                                                                                                   ,Webhook von Packlink erhalten                                                                                                                                                                               ,Webhook de Packlink reçu                                                                                                                                                                                               ,Webhook di Packlink ricevuto
systemLogMessages   ,couldNotDelete                     ,Could not delete entity %s with ID %s                                                                                                                                                                                                                                         ,No se pudo eliminar la entidad %s con ID %s                                                                                                                                                                                                                    ,Element %s mit ID %s konnte nicht gelöscht werden                                                                                                                                                           ,L'entité %s dont l'ID est %s n'a pas pu être supprimée.                                                                                                                                                                ,Impossibile eliminare l'entità %s con ID %s
systemLogMessages   ,entityCannotBeSaved                ,Entity %s with ID %s cannot be saved.                                                                                                                                                                                                                                         ,La entidad %s con ID %s no se puede guardar.                                                                                                                                                                                                                   ,Element %s mit ID %s kann nicht gespeichert werden.                                                                                                                                                         ,L'entité %s dont l'ID est %s n'a pas pu être enregistrée.                                                                                                                                                              ,L'entità %s con ID %s non può essere salvata.
systemLogMessages   ,entityCannotBeUpdated              ,Entity %s with ID %s cannot be updated.                                                                                                                                                                                                                                       ,La entidad %s con ID %s no se puede actualizar.                                                                                                                                                                                                                ,Element %s mit ID %s kann nicht aktualisiert werden.                                                                                                                                                        ,L'entité %s dont l'ID est %s n'a pas pu être mise à jour.                                                                                                                                                              ,L'entità %s con ID %s non può essere aggiornata.
systemLogMessages   ,fieldIsNotIndexed                  ,Field %s is not indexed!                                                                                                                                                                                                                                                      ,¡El campo %s no está indexado!                                                                                                                                                                                                                                 ,Feld %s ist nicht indiziert!                                                                                                                                                                                ,Le champs %s n'est pas indexé!                                                                                                                                                                                         ,Il campo %s non è indicizzato!
systemLogMessages   ,unknownOrNotIndexed                ,Unknown or not indexed OrderBy column %s                                                                                                                                                                                                                                      ,Desconocido o no indexado OrderBy column %s                                                                                                                                                                                                                    ,Unbekannte oder nicht indizierte OrderBy-Spalte %s                                                                                                                                                          ,Inconnu ou non-indexé OrderBy column %s                                                                                                                                                                                ,Colonna OrderBy %s sconosciuta o non indicizzata
systemLogMessages   ,dirNotCreated                      ,"Directory ""%s"" was not created"                                                                                                                                                                                                                                            ,"El directorio ""%s"" no fue creado"                                                                                                                                                                                                                           ,"Das Verzeichnis ""%s"" wurde nicht erstellt"                                                                                                                                                               ,"Annuaire ""%s"" n'a pas été créé"                                                                                                                                                                                     ,"La directory ""%s"" non è stata creata"
systemLogMessages   ,failedCreatingBackup               ,Failed creating backup service.                                                                                                                                                                                                                                               ,Error al crear el servicio flexible                                                                                                                                                                                                                            ,Fehler beim Erstellen des Backup-Versanddienstes.                                                                                                                                                           ,Impossible de créer le service de flexibilité.                                                                                                                                                                         ,Impossibile creare il servizio jolly.
systemLogMessages   ,backupServiceNotFound              ,Backup service not found.                                                                                                                                                                                                                                                     ,Servicio flexible no encontrado                                                                                                                                                                                                                                ,Backup-Versanddienst konnte nicht gefunden werden.                                                                                                                                                          ,Service de flexibilité introuvable                                                                                                                                                                                     ,Servizio jolly non trovato.
autoTest            ,dbNotAccessible.                   ,Database not accessible.                                                                                                                                                                                                                                                      ,DNo se puede acceder a la base de datos.                                                                                                                                                                                                                       ,Zugriff auf Datenbank nicht möglich.                                                                                                                                                                        ,Base de données inaccessible.                                                                                                                                                                                          ,Database non accessibile.
autoTest            ,taskCouldNotBeStarted.             ,Task could not be started.                                                                                                                                                                                                                                                    ,No se ha podido iniciar la tarea.                                                                                                                                                                                                                              ,Die Aufgabe konnte nicht gestartet werden.                                                                                                                                                                  ,La tâche n’a pu être lancée.                                                                                                                                                                                           ,Non è stato possibile avviare l’attività.
autoTest            ,moduleAutoTest                     ,PacklinkPRO module auto-test                                                                                                                                                                                                                                                  ,Prueba automática del módulo PacklinkPRO                                                                                                                                                                                                                       ,Automatischer Test PacklinkPRO-Modul                                                                                                                                                                        ,Test automatique du module PacklinkPRO                                                                                                                                                                                 ,Auto-test per il modulo di PacklinkPRO
